Country,Export Value,Import Value (D),Trade Balance,Import Value,FlagBase64
Jordan,31740 ,-61365 ,-29625 ,61365 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Im0xMjYgMTU4IDEyNy44LTEwLjNMNTEyIDE2N3YxNzhsLTI1NC45IDMyLjNMMTI2IDMzNS45eiIvPjxwYXRoIGZpbGw9IiMzMzMiIGQ9Ik0wIDBoNTEydjE2N0gxMDd6Ii8+PHBhdGggZmlsbD0iIzZkYTU0NCIgZD0iTTEwNyAzNDVoNDA1djE2N0gweiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDB2NTEybDI1Ni0yNTZ6Ii8+PHBhdGggZmlsbD0iI2VlZSIgZD0ibTEwMS42IDIwMC4zIDE0IDI5LjQgMzEuOC03LjMtMTQuMiAyOS4zIDI1LjUgMjAuMi0zMS44IDcuMi4xIDMyLjYtMjUuNC0yMC40LTI1LjQgMjAuNFYyNzlsLTMxLjctNy4yIDI1LjUtMjAtMTQuMi0yOS40IDMxLjggNy4zeiIvPjwvZz48L3N2Zz4="
Guatemala,31346 ,-61595 ,-30249 ,61595 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiMzMzhhZjMiIGQ9Ik0wIDBoMTQ0LjdsMTA4LjQgNDEuMkwzNjcuMyAwSDUxMnY1MTJIMzY3LjNsLTExMC4yLTQxLjRMMTQ0LjcgNTEySDB6Ii8+PHBhdGggZmlsbD0iI2VlZSIgZD0iTTE0NC43IDBoMjIyLjZ2NTEySDE0NC43eiIvPjxwYXRoIGZpbGw9IiNhY2FiYjEiIGQ9Ik0zMjIuOSAyOTkuMyAyNzkuNiAyNTZsNDEuMi00MS4yTDMxOSAxOTNsLTExLjctMTEuOC01MS4yIDUxLjItNTEuMi01MS4yLTExLjcgMTEuOC0yIDIxLjggNDEuMyA0MS4yLTQzLjMgNDMuMyAyMy42IDIzLjYgNDMuMy00My4zIDQzLjMgNDMuM3oiLz48cGF0aCBmaWxsPSIjNmRhNTQ0IiBkPSJtMzE5IDE5My0yMy42IDIzLjZhNTUuNSA1NS41IDAgMCAxLTM5LjQgOTUgNTUuNyA1NS43IDAgMCAxLTM5LjQtOTVMMTkzIDE5M2E4OSA4OSAwIDEgMCAxMjYgMHoiLz48L2c+PC9zdmc+"
Zambia,29906 ,-19490 ,10416 ,19490 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiM0OTZlMmQiIGQ9Ik0wIDBoNTEydjI1NkwyNTYgNTEySDB6Ii8+PHBhdGggZmlsbD0iI2ZmOTgxMSIgZD0iTTQ3MyAxNjdoLTY2LjdhMjIuMyAyMi4zIDAgMCAwLTQ0LjYgMEgyOTVhMjMgMjMgMCAwIDAgMjMgMjIuMmgtLjhjMCAxMi4zIDEwIDIyLjMgMjIuMyAyMi4zIDAgMTIuMyAxMCAyMi4yIDIyLjIgMjIuMmg0NC42YzEyLjMgMCAyMi4yLTEwIDIyLjItMjIuMiAxMi4zIDAgMjIuMy0xMCAyMi4zLTIyLjNoLS44YTIzIDIzIDAgMCAwIDIzLTIyLjJ6Ii8+PHBhdGggZmlsbD0iIzMzMyIgZD0iTTM0MS4zIDI1Nmg4NS40bDIxLjEgMTI2LjNMNDI2LjcgNTEyaC04NS40bC0yMy41LTEyOHoiLz48cGF0aCBmaWxsPSIjZDgwMDI3IiBkPSJNMjU2IDI1Nmg4NS4zdjI1NkgyNTZ6Ii8+PHBhdGggZmlsbD0iI2ZmOTgxMSIgZD0iTTQyNi43IDI1Nkg1MTJ2MjU2aC04NS4zeiIvPjwvZz48L3N2Zz4="
Guinea,29066 ,-12548 ,16519 ,12548 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Ik0xNjcgMGgxNzhsMjUuOSAyNTIuM0wzNDUgNTEySDE2N2wtMjkuOC0yNTMuNHoiLz48cGF0aCBmaWxsPSIjZDgwMDI3IiBkPSJNMCAwaDE2N3Y1MTJIMHoiLz48cGF0aCBmaWxsPSIjNmRhNTQ0IiBkPSJNMzQ1IDBoMTY3djUxMkgzNDV6Ii8+PC9nPjwvc3ZnPg=="
Turkmenistan,28155 ,-9353 ,18802 ,9353 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiM0OTZlMmQiIGQ9Ik0wIDBoNjYuOGw2Ny44IDMyLjNMMjAwLjMgMEg1MTJ2NTEySDIwMC4zbC03MC4yLTM0LjFMNjYuOCA1MTJIMHoiLz48cGF0aCBmaWxsPSIjZDgwMDI3IiBkPSJNNjYuOCAwaDEzMy41djUxMkg2Ni44eiIvPjxnIGZpbGw9IiNlZWUiPjxwYXRoIGQ9Ik0zNzQuNCAxOTMuMWE3OCA3OCAwIDAgMC0zMS45LTkyLjMgNzguMiA3OC4yIDAgMCAxIDE2LjMgNCA3OCA3OCAwIDEgMS01Mi42IDE0Ni42IDc4LjEgNzguMSAwIDAgMS0xNS4xLTcuMyA3OCA3OCAwIDAgMCA4My4zLTUxem0tNjkuOC0xMDItMTEgMTQuMi0xNi44LTYgMTAgMTQuOC0xMC45IDE0IDE3LjItNSAxMCAxNC45LjYtMTggMTcuMi01LTE2LjktNnoiLz48cGF0aCBkPSJtMzM0LjEgMTM3LjMtMTEgMTQtMTYuOC02IDEwLjEgMTQuOC0xMSAxNC4yIDE3LjItNSAxMC4xIDE0LjcuNS0xNy44IDE3LjItNS0xNi44LTZ6TTI1Mi41IDEwOGwtMTEgMTQuMS0xNi44LTYgMTAgMTQuNy0xMC45IDE0LjIgMTcuMi01IDEwIDE0LjcuNi0xNy44IDE3LjEtNS0xNi44LTZ6bS0xLjIgNTIuNy0xMSAxNC4yLTE2LjgtNiAxMCAxNC43LTEwLjkgMTQuMiAxNy4yLTUgMTAgMTQuNy42LTE3LjggMTcuMS01LTE2LjgtNnptNTAuMiAxOC0xMSAxNC4yLTE2LjgtNiAxMCAxNC43LTEwLjkgMTQuMiAxNy4yLTUgMTAgMTQuNy42LTE3LjggMTcuMi01LTE2LjktNnoiLz48L2c+PHBhdGggZmlsbD0iI2VlZSIgZD0iTTExNy44IDEzNC44IDk1LjQgMTE4di0xMmwzOC4yLTI4IDE1LjgtLjEgMjIuMyAxNi43djExLjVsLTM4LjEgMjguN3oiLz48cGF0aCBmaWxsPSIjZmY5ODExIiBkPSJNMTMzLjYgNzhoLTE1LjhMOTUuNCA5NC41VjEwNmgzOC4yem0wIDU2LjhoMTUuOGwyMi4zLTE2Ljd2LTEyaC0zOC4xeiIvPjxwYXRoIGZpbGw9IiM0OTZlMmQiIGQ9Im0xMTcuOCAyODQuNC0yMi40LTE2LjZ2LTIzLjZsMjIuNC0xNi42aDMxLjZsMjIuMyAxNi42djIzLjZsLTIyLjMgMTYuNnptNTQuNyAzNi43aC05Ljd2LTkuOGgtMTcuMWwtMTIuMS0xMi0xMi4xIDEyaC0xNy4ydjkuOGgtOS43djE5LjVoOS43djkuN2gxNy4ybDEyIDEyLjEgMTIuMi0xMi4xaDE3di05LjdoOS44em0wLTE0OS43aC05Ljd2LTkuN2gtMTcuMWwtMTIuMS0xMi4xLTEyLjEgMTJoLTE3LjJ2OS44aC05LjdWMTkxaDkuN3Y5LjhoMTcuMmwxMiAxMiAxMi4yLTEyaDE3VjE5MWg5Ljh6Ii8+PGcgZmlsbD0iI2Q4MDAyNyI+PHBhdGggZD0iTTEyMi40IDI0NC45aDIyLjNWMjY3aC0yMi4zeiIvPjxjaXJjbGUgY3g9IjEzMy42IiBjeT0iMTgxLjIiIHI9IjExLjEiLz48Y2lyY2xlIGN4PSIxMzMuNiIgY3k9IjMzMC44IiByPSIxMS4xIi8+PC9nPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Im0xMTcuOCA0MzQtMjIuNC0xNi44di0xMmwzOC4yLTI4IDE1LjgtLjEgMjIuMyAxNi43djExLjVMMTMzLjYgNDM0eiIvPjxwYXRoIGZpbGw9IiNmZjk4MTEiIGQ9Ik0xMzMuNiAzNzcuMmgtMTUuOGwtMjIuNCAxNi41djExLjVoMzguMnptMCA1Ni44aDE1LjhsMjIuMy0xNi43di0xMmgtMzguMXoiLz48L2c+PC9zdmc+"
Mongolia,27871 ,-14901 ,12970 ,14901 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNhMjAwMWQiIGQ9Ik0wIDBoMTY3bDg0LjkgNDVMMzQ1IDBoMTY3djUxMkgzNDVsLTg3LjctNDguMUwxNjcgNTEySDB6Ii8+PHBhdGggZmlsbD0iIzAwNTJiNCIgZD0iTTE2NyAwaDE3OHY1MTJIMTY3eiIvPjxnIGZpbGw9IiNmZmRhNDQiPjxwYXRoIGQ9Ik0xMjIuNCAyNTZoMjIuM3Y4OWgtMjIuM3ptLTg5IDBoMjIuM3Y4OUgzMy40eiIvPjxjaXJjbGUgY3g9Ijg5IiBjeT0iMjg5LjQiIHI9IjIyLjMiLz48Y2lyY2xlIGN4PSI4OSIgY3k9IjIxMS41IiByPSIxMS4xIi8+PHBhdGggZD0iTTY2LjggMzIyLjhoNDQuNVYzNDVINjYuOHptMC04OWg0NC41VjI1Nkg2Ni44ek04OSAxMzMuNWw4IDI0LjJoMjUuNGwtMjAuNiAxNSA3LjkgMjQuM0w4OSAxODJsLTIwLjYgMTUgNy45LTI0LjMtMjAuNi0xNWgyNS41eiIvPjwvZz48L2c+PC9zdmc+"
Sri Lanka,27416 ,-34642 ,-7227 ,34642 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNmZjk4MTEiIGQ9Ik04MS40IDI3LjJoMTM1LjJ2NDU2LjVIODEuNHoiLz48cGF0aCBmaWxsPSIjNmRhNTQ0IiBkPSJtMCA0NC41IDEwMC4yLTIydjQ2M0wwIDQ2Ny41eiIvPjxwYXRoIGZpbGw9IiNhMjAwMWQiIGQ9Im0yMTguNiAyNi41IDI5My40IDE4djkzLjJsLTE4LjYgMTA2LjIgMTguNiA5Ny40djEyNi4ybC0yOTMuNCAxOHoiLz48cGF0aCBmaWxsPSIjZmZkYTQ0IiBkPSJNMCAwdjQ0LjVoMjAwLjN2NDIzSDBWNTEyaDUxMnYtNDQuNUgyMzMuN3YtNDIzSDUxMlYweiIvPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Ik0zMDAuNSA5NC42Yy0xOC40IDAtMzMuNCAxNS0zMy40IDMzLjR2MTQ0LjZhMzMgMzMgMCAwIDAgMTEuMiAyNXY1M2gyMi4ydi0yNy44aDEwMC4ydjQ0LjVoLTIyLjN2MjIuM0g0MjNWMzQ1bDIwLjQtMjIuMmg0OC4yYTcyLjkgNzIuOSAwIDAgMCAyMC40IDE4LjVWMTM3LjdhNjYgNjYgMCAwIDAtMjIuNSAxMy4xIDY3LjggNjcuOCAwIDAgMC0xMy4yIDgyLjljLTIxLjMtLjEtNDEgLjItNTMuMyAwVjE2N2MwLTExLjItMTYuNy0yMi4zLTE2LjctMjIuM3MtMTYuNyAxMS4xLTE2LjcgMjIuM2gtNjYuOHY2Ni43aDMzLjR2MzMuNGMwIDcuMSAxLjQgMTQuMSA0LjEgMjAuN0wzNDUgMzAwLjZoLTQ0LjV2LTIwNnoiLz48L2c+PC9zdmc+"
Trinidad and Tobago,27217 ,-11054 ,16163 ,11054 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDExMC4yIDExMC4yIDBINTEydjQwMS44TDQwMS44IDUxMkgweiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0xMTAuMiAwSDYzTDAgNjN2NDcuMkw0MDEuOCA1MTJINDQ5bDYzLTYzdi00Ny4yeiIvPjxwYXRoIGZpbGw9IiMzMzMiIGQ9Ik01MTIgNTEydi02M0w2MyAwSDB2NjNsNDQ5IDQ0OXoiLz48L2c+PC9zdmc+"
Papua New Guinea,27145 ,-10624 ,16520 ,10624 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiMzMzMiIGQ9Ik01MTIgNTEyIDMwMS4zIDIyNi42IDAgMHY1MTJ6Ii8+PHBhdGggZmlsbD0iI2EyMDAxZCIgZD0ibTAgMCA1MTIgNTEyVjB6Ii8+PHBhdGggZmlsbD0iI2VlZSIgZD0ibTE5NSAzNDYgNC4yIDEyLjloMTMuNmwtMTEgOCA0LjIgMTIuOC0xMS03LjktMTEgNy45IDQuMi0xMi45LTExLThoMTMuNnptLTM0LjYtMTIzLjcgNyAyMS41aDIyLjVMMTcxLjcgMjU3bDcgMjEuNS0xOC4zLTEzLjMtMTguMiAxMy4zIDYuOS0yMS41LTE4LjItMTMuMmgyMi41em0wIDE1Ny40IDcgMjEuNWgyMi41bC0xOC4yIDEzLjIgNyAyMS42LTE4LjMtMTMuNC0xOC4yIDEzLjQgNi45LTIxLjYtMTguMi0xMy4yaDIyLjV6bTY2LTEwMS4yIDcgMjEuNUgyNTZsLTE4LjIgMTMuMyA2LjkgMjEuNC0xOC4yLTEzLjItMTguMyAxMy4yIDctMjEuNC0xOC4zLTEzLjNoMjIuNXptLTEzMiAwIDcgMjEuNWgyMi41bC0xOC4yIDEzLjMgNyAyMS40LTE4LjMtMTMuMi0xOC4zIDEzLjIgNy0yMS40TDY0LjggMzAwaDIyLjV6Ii8+PHBhdGggZmlsbD0iI2ZmZGE0NCIgZD0iTTQzMC4zIDE4OWE2NyA2NyAwIDAgMC00Mi42LTE5LjdsNDguMi0zNy42YTg5LjcgODkuNyAwIDAgMC03MC4zLTI2QTY3LjIgNjcuMiAwIDAgMCAzNDguNSA3NmwtMTkuMiAzOC4yYTI4IDI4IDAgMCAwLTQuOC02LjMgMjggMjggMCAxIDAtMzkuNyAzOS43IDI4IDI4IDAgMCAwIDYuMyA0LjhMMjUzIDE3MS41YTY3LjIgNjcuMiAwIDAgMCAyOS42IDE3LjIgODkuNyA4OS43IDAgMCAwIDI2IDcwLjJsNDIuMi01NC4yYTE2LjggMTYuOCAwIDAgMSAxMS45LTQuOWM0LjQgMCA4LjcgMS43IDEyIDVhMTYuOCAxNi44IDAgMCAxIDQuOCAxMS45YzAgNC41LTEuNyA4LjgtNC45IDEybDE1LjkgMTUuOWEzOS4xIDM5LjEgMCAwIDAgMy43LTUxLjQgNDQuNyA0NC43IDAgMCAxIDIwLjIgMTEuNiA0NSA0NSAwIDAgMSAwIDYzLjZsMTUuOSAxNS45YTY3IDY3IDAgMCAwIDAtOTUuNHoiLz48L2c+PC9zdmc+"
Dominican Republic,25554 ,-56647 ,-31093 ,56647 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0zNS41IDI1Nmg0NDRsMzIuNS02Ni44VjBIMzIyLjhMMjU2IDMxLjh2NDQ0LjZMMTg5LjIgNTEySDBWMzIyLjh6Ii8+PHBhdGggZmlsbD0iIzAwNTJiNCIgZD0iTTQ3OS41IDI1NmgtNDQ0TDAgMTg5LjJWMGgxODkuMkwyNTYgMzEuOHY0NDQuNmw2Ni44IDM1LjZINTEyVjMyMi44eiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0xODkuMiAwaDEzMy42djE4OS4ySDUxMnYxMzMuNkgzMjIuOFY1MTJIMTg5LjJWMzIyLjhIMFYxODkuMmgxODkuMnoiLz48cGF0aCBmaWxsPSIjNDk2ZTJkIiBkPSJNMzIyLjggMjU2YTY2LjggNjYuOCAwIDEgMS0xMzMuNiAwYzAtMzYuOSA2Ni44LTY2LjggNjYuOC02Ni44czY2LjggMzAgNjYuOCA2Ni44eiIvPjxwYXRoIGZpbGw9IiMwMDUyYjQiIGQ9Ik0xODkuMiAyNTZhNjYuOCA2Ni44IDAgMSAxIDEzMy42IDAiLz48cGF0aCBmaWxsPSIjZDgwMDI3IiBkPSJNMjE4LjQgMjIyLjZ2NDEuN2EzNy42IDM3LjYgMCAxIDAgNzUuMiAwdi00MS43eiIvPjwvZz48L3N2Zz4="
Republic of the Congo,25286 ,-8270 ,17016 ,8270 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Ik0zODQgMGgxMjh2MTI4TDM1MiAzNTIgMTI4IDUxMkgwVjM4NGwxNjAtMjI0WiIvPjxwYXRoIGZpbGw9IiM2ZGE1NDQiIGQ9Ik0wIDM4NCAzODQgMEgwWiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik01MTIgMTI4IDEyOCA1MTJoMzg0eiIvPjwvZz48L3N2Zz4="
Brunei,25200 ,-14097 ,11103 ,14097 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Ik0wIDBoNTEydjMyNi43bC0xOS4zIDc2LjUgMTkuMyA3Ny43VjUxMkgwVjE4NS4ybDIxLjQtNzYuNUwwIDMxeiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0wIDMxdjExNy4ybDUxMiAyOTUuN1YzMjYuN0wwIDMxeiIvPjxwYXRoIGZpbGw9IiMzMzMiIGQ9Ik0wIDEwOC4ydjc3TDUxMiA0ODF2LTc3TDAgMTA4LjJ6Ii8+PGcgZmlsbD0iI2Q4MDAyNyI+PHBhdGggZD0iTTMyOC4zIDIyOC4yYTcyLjMgNzIuMyAwIDEgMS0xMzYtMzQuNCA4OSA4OSAwIDEgMCAxMjcuMyAwIDcyIDcyIDAgMCAxIDguNyAzNC40eiIvPjxwYXRoIGQ9Ik0yMzkuMyAxNDQuN2gzMy40djE2N2gtMzMuNHoiLz48cGF0aCBkPSJNMzExLjYgMTc4SDIwMC40YzAgNy44IDYuNiAxNCAxNC4zIDE0aC0uNGExNCAxNCAwIDAgMCAxMy45IDE0IDE0IDE0IDAgMCAwIDEzLjkgMTMuOGgyNy44YTE0IDE0IDAgMCAwIDE0LTEzLjkgMTQgMTQgMCAwIDAgMTMuOC0xMy45aC0uNGM3LjYgMCAxNC4zLTYuMiAxNC4zLTEzLjl6TTE3OC4xIDMyMi45aDE1NS44djMzLjRIMTc4LjF6Ii8+PHBhdGggZD0iTTI4OS40IDMzMy45aDY2Ljh2MzMuNGgtNjYuOHptLTEzMy42IDBoNjYuOHYzMy40aC02Ni44eiIvPjwvZz48L2c+PC9zdmc+"
Bolivia,24957 ,-22308 ,2649 ,22308 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Im0wIDE2NyAyNTIuOS0yOS4zTDUxMiAxNjd2MTc4bC0yNTUuNyAyNS43TDAgMzQ1eiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDBoNTEydjE2N0gweiIvPjxwYXRoIGZpbGw9IiM2ZGE1NDQiIGQ9Ik0wIDM0NWg1MTJ2MTY3SDB6Ii8+PC9nPjwvc3ZnPg=="
Uruguay,23393 ,-28174 ,-4782 ,28174 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiMzMzhhZjMiIGQ9Ik0wIDI1NiAyNTYgMGgyNTZ2NTUuN2wtMjAuNyAzNC41IDIwLjcgMzIuMnY2Ni44bC0yMS4yIDMyLjdMNTEyIDI1NnY2Ni44bC0yNCAzMS43IDI0IDM1LjF2NjYuN2wtMjU5LjEgMjguM0wwIDQ1Ni4zdi02Ni43bDI3LjEtMzMuM0wwIDMyMi44eiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0yNTYgMjU2aDI1NnYtNjYuOEgyMzYuOXptLTE5LjEtMTMzLjZINTEyVjU1LjdIMjM2Ljl6TTUxMiA1MTJ2LTU1LjdIMFY1MTJ6TTAgMzg5LjZoNTEydi02Ni44SDB6Ii8+PHBhdGggZmlsbD0iI2VlZSIgZD0iTTAgMGgyNTZ2MjU2SDB6Ii8+PHBhdGggZmlsbD0iI2ZmZGE0NCIgZD0ibTIyMi42IDE0OS44LTMxLjMgMTQuNyAxNi43IDMwLjMtMzQtNi41LTQuMyAzNC4zLTIzLjYtMjUuMi0yMy43IDI1LjItNC4zLTM0LjMtMzMuOSA2LjUgMTYuNi0zMC4zLTMxLjItMTQuNyAzMS4yLTE0LjctMTYuNi0zMC4zIDM0IDYuNSA0LjItMzQuMyAyMy43IDI1LjNMMTY5LjcgNzdsNC4zIDM0LjMgMzQtNi41LTE2LjcgMzAuM3oiLz48L2c+PC9zdmc+"
